Date,Country,State,City,AvgTemperature,Name
2012-01-01,US,Alabama,Birmingham,59.1,Joshua Harrison
2012-01-02,US,Alabama,Birmingham,43.0,Mauricio Hinton
2012-01-03,US,Alabama,Birmingham,30.9,Scott Kaur
2012-01-04,US,Alabama,Birmingham,34.7,Davion Moss
2012-01-05,US,Alabama,Birmingham,44.1,Mauricio Hinton
2012-01-06,US,Alabama,Birmingham,46.3,Joshua Harrison
2012-01-07,US,Alabama,Birmingham,60.6,Davion Moss
2012-01-08,US,Alabama,Birmingham,57.4,Peter Robertson
2012-01-09,US,Alabama,Birmingham,59.8,Peter Robertson
2012-01-10,US,Alabama,Birmingham,59.4,Gerardo Cobb
2012-01-11,US,Alabama,Birmingham,56.4,Peter Robertson
2012-01-12,US,Alabama,Birmingham,46.8,Michael Bates
2012-01-13,US,Alabama,Birmingham,31.6,Scott Kaur
2012-01-14,US,Alabama,Birmingham,37.7,Scott Kaur
2012-01-15,US,Alabama,Birmingham,44.0,Gerardo Cobb
2012-01-16,US,Alabama,Birmingham,51.0,Tom Ward
2012-01-17,US,Alabama,Birmingham,59.3,Mauricio Hinton
2012-01-18,US,Alabama,Birmingham,50.1,Quinton Grimes
2012-01-19,US,Alabama,Birmingham,40.8,Davion Moss
2012-01-20,US,Alabama,Birmingham,57.9,Tom Ward
2012-01-21,US,Alabama,Birmingham,64.2,Joshua Harrison
2012-01-22,US,Alabama,Birmingham,54.1,Mauricio Hinton
2012-01-23,US,Alabama,Birmingham,66.2,Michael Bates
2012-01-24,US,Alabama,Birmingham,52.6,Quinton Grimes
2012-01-25,US,Alabama,Birmingham,57.6,Gerardo Cobb
2012-01-26,US,Alabama,Birmingham,63.8,Davion Moss
2012-01-27,US,Alabama,Birmingham,51.7,Mauricio Hinton
2012-01-28,US,Alabama,Birmingham,46.0,Michael Bates
2012-01-29,US,Alabama,Birmingham,40.5,Hank Mccullough
2012-01-30,US,Alabama,Birmingham,44.7,Davion Moss
